,item_number,Description,category
0,1,"Impact-branded photo backdrop kit including a gray mottled muslin backdrop with brass grommets, a solid black fabric backdrop, and a collapsible support stand system. Comes with a padded carrying case for easy transport and storage. Ideal for photography setups.",Photography Equipment
1,2,"Interfit Stellar X flash lighting unit with adjustable power settings, test and sync functions, and built-in modeling light. Mounted on a height-adjustable tripod stand with a handle for angling. Ideal for studio photography and portrait setups.",Photography Equipment
2,3,"Interfit Stellar X 300 studio strobe light with adjustable power settings, built-in modeling lamp, and a silver reflector dish. Mounted on a sturdy tripod stand with locking height adjustments, ideal for professional lighting setups in photography studios.",Photography Equipment
3,4,"Interfit Stellar X 300 studio flash unit equipped with adjustable output dial, test trigger, and modeling light control. Mounted on a telescoping tripod stand with locking knobs and power cable. Includes reflector dish for directional lighting in studio environments.",Photography Equipment
4,5,"Interfit COR 751 lighting kit with a wheeled carrying case, softbox, white shoot-through umbrella, and barndoor reflector with silver interior. Includes a heavy-duty light stand for stable support during photo or video shoots. Great for studio lighting control.",Photography Equipment
5,6,Pair of Impact floodlight fixtures mounted on adjustable tripod stands with aluminum reflectors and blue bulbs. Each unit features a wooden handle and swivel bracket for directional lighting. Designed for studio or location photography setups.,Photography Equipment
6,7,"Assorted hand tool collection including Sears adjustable wrenches, a red-handled locking plier, flathead screwdriver, and combination wrench sets in both metric and SAE sizes. Includes Mechanics 32-piece stubby wrench set and smaller CR-V wrenches in storage racks.",Tools
7,8,"Box of assorted hand tools including multiple C-clamps, ball peen and claw hammers, a pipe cutter, and various woodworking tools. A practical collection for metalworking, woodworking, or general repair tasks.",Tools
8,9,"Clear storage bin filled with grinding and cutting accessories including flap discs, segmented blades, and wire wheels. Includes brands like Diablo and Craftsman, along with an electric angle grinder. Ideal for metalwork, fabrication, and general shop use.",Tools
9,10,"Heavy-duty Armstrong slide hammer puller set, model 93-894, made in the USA. Comes in original branded packaging and includes a forged puller head and T-handle shaft. Known for lifetime durability, ideal for removing bearings, gears, and bushings.",Tools
10,11,Pittsburgh Automotive Bearing Race and Seal Driver Set with ten anodized aluminum discs in assorted sizes for precise installation of wheel bearings and seals. Comes in a red blow-molded case. Distributed by Harbor Freight Tools. Made in China.,Tools
11,12,"Set of Snap-on deep impact sockets stored in a red metal rail. Each socket is forged from durable steel and designed for high-torque applications. Includes a range of sizes to accommodate various fasteners, showing visible signs of use.",Tools
12,13,"Set of Craftsman hand tools including two complete metric socket sets in holders, various ratchets, extensions, and breaker bars. All pieces are chrome-finished with clearly stamped markings. Includes USA-made VV 43385 socket and forged steel handles with lifetime warranty engraving.",Tools
13,14,"Set of nine Proto Professional chrome sockets, including model 5427MH, precision-made in the USA. Each socket is mounted on a red rail for easy storage and organization. Designed for heavy-duty professional use with a polished chrome finish.",Tools
14,15,"Set of two torque wrenches from KD Tools and CDI Torque Products, each stored in its own molded case. The CDI wrench is a 501MRMH model made in the USA, with calibration paperwork included for precision torque applications.",Tools
15,16,"Collection of measuring and leveling tools including a vintage wooden American level marked 806.17 28 with brass edges, a large black plastic level, a blue Mayes framing square, and two aluminum straight edges by Lufkin and Empire.",Tools
16,17,"Pair of heavy-duty Haul-Master steel loading ramps with a 1,000 lb combined capacity. Each ramp features a slotted, anti-slip design and reinforced mounting brackets. Ideal for loading lawn equipment, ATVs, or other small vehicles into trucks or trailers.",Tools
17,18,"Collection of Dyson V8 cordless vacuum parts and attachments, including multiple brush heads, wands, and wall mounts. Comes with a 21.6V 3500mAh Biswaye replacement lithium-ion battery pack rated at 75.6Wh. Ideal for repairs or extra components.",Tools
18,19,"Sculptural metal table lamp with welded abstract design, mounted on a black rectangular base. Comes with an off-white fabric drum shade. The cord is damaged at the plug and will require repair before safe use.",Lighting
19,20,Tall mid-century lamp with stacked wood segments and a two-bulb brass fixture. Accented with a sculpted finial and pull chains. Includes a large drum shade. Brass base shows age-related wear. Plug is broken and needs repair.,Lighting
20,21,"Mid-century ceramic table lamp by Jacques Pouchain for Atelier Dieulefit Vallauris, France. Features a sculptural base with dual abstract faces in earthy brown tones and textured glaze. Includes original woven rattan-style drum shade.",Lighting
21,22,"Oil painting still life featuring a green wine bottle, amber decanter, and ornate blue stein alongside three apples and a yellow box. Richly textured brushstrokes and warm lighting create a classic composition with soft, muted shadows.",Art
22,23,"Original painting by Ronald Bouché depicting a celestial eclipse with dynamic, swirling brushstrokes and vibrant specks of color. The black void contrasts with radiant light and cosmic hues, creating a dramatic, textured composition on a dark canvas.",Art
23,24,"Colorful seascape painting signed “Dany ’03” featuring a row of traditional sailboats with multicolored sails gliding across calm water. Seagulls fly overhead, and reflections ripple on the ocean’s surface. Presented in a simple light wood frame.",Art
24,25,"Vibrant painting by M.VinLouis, featuring an energetic market scene with stylized figures in white garments and colorful head coverings. Surrounding them are vivid fruits, vegetables, and woven baskets. The dynamic composition and bold hues create a rhythmic, celebratory atmosphere.",Art
25,26,"Colorful oil painting of a cobblestone street lined with textured buildings and red awnings, leading to an atmospheric cityscape in the distance. Thick brushstrokes give depth and energy, while rich colors create a lively European village ambiance. Signed “Liø.”",Art
26,27,"Colorful market scene painting signed by M. V. Louis. Features stylized figures in flowing white garments surrounded by vibrant produce baskets and tropical fruits. Bright, rhythmic composition with bold outlines and saturated tones, creating a sense of bustling communal energy.",Art
