item_number,desc1,desc1_source,desc2,desc2_source,human_label
1,"Impact-branded photo backdrop kit including a gray mottled muslin backdrop with brass grommets, a solid black fabric backdrop, and a collapsible support stand system. Comes with a padded carrying case for easy transport and storage. Ideal for photography setups.",baseline,"Professional photography equipment set featuring multiple black and silver tripods with adjustable legs, secure straps, and yellow accents, neatly stored in a black padded bag. Ideal for photographers seeking reliable, portable gear.",model,Both descriptions are acceptable
2,"Interfit Stellar X flash lighting unit with adjustable power settings, test and sync functions, and built-in modeling light. Mounted on a height-adjustable tripod stand with a handle for angling. Ideal for studio photography and portrait setups.",baseline,"Electronic device with ""INTERFIT"" branding, mounted on a black microphone stand with a tripod. Features include 1/8 and 1/4 charge inputs, full sensor test sync capabilities. Includes electrical cable.",model,baseline
3,"Interfit Stellar X 300 studio strobe light with adjustable power settings, built-in modeling lamp, and a silver reflector dish. Mounted on a sturdy tripod stand with locking height adjustments, ideal for professional lighting setups in photography studios.",baseline,"Professional-grade grey overhead projector with ""INTERFIT Stellar"" branding, mounted on a black tripod. Includes multiple connection ports and a sensor test model feature. Ideal for studio or professional use.",model,baseline
4,"Interfit Stellar X 300 studio flash unit equipped with adjustable output dial, test trigger, and modeling light control. Mounted on a telescoping tripod stand with locking knobs and power cable. Includes reflector dish for directional lighting in studio environments.",baseline,"Electronic device, INTERFIT Stellar 300, small appliance, mounted on a tripod, ready for sound and full sensor test, 1/4 charge, CE certified, black and gray, ideal for cameras & optics.",model,baseline
5,"Interfit COR 751 lighting kit with a wheeled carrying case, softbox, white shoot-through umbrella, and barndoor reflector with silver interior. Includes a heavy-duty light stand for stable support during photo or video shoots. Great for studio lighting control.",baseline,"Round black hat with ""INTERFIT"" printed in white on the front. Made from a smooth, durable fabric. Ideal for outdoor or athletic use. Condition: Good. Perfect for adding style and functionality to your wardrobe.",model,baseline
6,Pair of Impact floodlight fixtures mounted on adjustable tripod stands with aluminum reflectors and blue bulbs. Each unit features a wooden handle and swivel bracket for directional lighting. Designed for studio or location photography setups.,baseline,"Professional studio lighting kit featuring two silver, blue-nosed reflectors on black stands. Ideal for photography and videography. Sturdy and adjustable, perfect for controlling light and enhancing studio setups.",model,Both descriptions are acceptable
7,"Assorted hand tool collection including Sears adjustable wrenches, a red-handled locking plier, flathead screwdriver, and combination wrench sets in both metric and SAE sizes. Includes Mechanics 32-piece stubby wrench set and smaller CR-V wrenches in storage racks.",baseline,"Forged metalworking hand tools set, including adjustable spanner, ratchet, and various wrenches. Includes 20-piece extended length and 12-piece stubby sets. Titanium and chrome vanadium steel construction. Includes blue storage pouch. Perfect for mechanics and DIY projects.",model,baseline
8,"Vintage set of metalworking tools and household hardware in a cardboard box. Includes a stonemason's hammer, assorted hand tools, and metal pieces. Condition: Used. Key features: sturdy tools, metal components, classic craftsmanship.",model,"Box of assorted hand tools including multiple C-clamps, ball peen and claw hammers, a pipe cutter, and various woodworking tools. A practical collection for metalworking, woodworking, or general repair tasks.",baseline,baseline
9,"Clear plastic storage box containing a 4-1/2"" angle grinder with a metal and stainless steel body, labeled ""DEMON DIABLO 10x,"" and various accessories, including a cup wheel brush. Ideal for power tool enthusiasts.",model,"Clear storage bin filled with grinding and cutting accessories including flap discs, segmented blades, and wire wheels. Includes brands like Diablo and Craftsman, along with an electric angle grinder. Ideal for metalwork, fabrication, and general shop use.",baseline,Both descriptions are acceptable
10,"Heavy-duty Armstrong slide hammer puller set, model 93-894, made in the USA. Comes in original branded packaging and includes a forged puller head and T-handle shaft. Known for lifetime durability, ideal for removing bearings, gears, and bushings.",baseline,"Vintage metal tool with a wrapped, blue and white protective cover, securely attached to a dark brown, slightly wrinkled fabric background. Includes visible screws and metal components, perfect for collectors or restoration projects.",model,baseline
